,,,,"Mar-2024-HAKIM MOMIN-PAKUR-BGR MINING & INFRA LTD",,,,,,
"Sl. No.","Vehicle No.",Trips,MT,"Feright/MT ()","HSD Ltr Issues","HSD Price/Ltr ()",Total,"Acc Add Diff ()","Tanker Fare ()","Payable Amt"
69,"JH16G7741<br/> ( TATA SIGNA )",1,30.46,0,267,0,0,0,0,0
70,"JH16F2937<br/> ( TATA SIGNA )",9,274.86,0,749,0,0,0,0,0
71,"JH16H5199<br/> ( TATA SIGNA )",10,318.88,0,723,0,0,0,0,0
72,"JH16F3611<br/> ( TATA SIGNA )",7,218.62,0,903,0,0,0,0,0
73,"JH16F5641<br/> ( TATA SIGNA )",6,186.42,0,958,0,0,0,0,0
74,"JH16G7114<br/> ( TATA SIGNA )",7,212.64,0,1140,0,0,0,0,0
75,"JH16H1881<br/> ( TATA SIGNA )",6,191.34,0,726,0,0,0,0,0
76,"JH16H2066<br/> ( TATA SIGNA )",9,275.76,0,940,0,0,0,0,0
77,"JH16H4042<br/> ( TATA SIGNA )",8,237.82,0,1165,0,0,0,0,0
78,"JH16H0046<br/> ( TATA SIGNA )",6,191.54,0,688,0,0,0,0,0
79,"JH16H1046<br/> ( TATA SIGNA )",6,188.58,0,687,0,0,0,0,0
,,,,,,,,,,
,Subtotal,555,17066.42,0,69693,0,0,0,0,0
